"year","dep_nac","cod_dep_nac","ciu_nac","cod_ciu_nac","lon_ciu_nac","lat_ciu_nac","dep_proc","cod_dep_proc","ciu_proc","cod_ciu_proc","lon_ciu_proc","lat_ciu_proc","cods_nac","codn_nac","nacionalidad","edad","sexo","estrato","tipo_col","pbm","snies_sede_adm","sede_admision","snies_sede_mat","sede_finalizacion","mod_adm","tipo_adm","paes","peama","facultad","cod_padre","snies_progra","programa","areac_snies","ca_cine","cd_cine","area_cine","puntaje_global","punt_comp_ciud","nivel_comp_ciud","punt_comu_escr","nivel_comu_escr","punt_ingles","nivel_ingles","punt_lect_crit","nivel_lect_crit","punt_razo_cuant","nivel_razo_cuant"
"2018","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","COL","170","Colombiana","34","Mujeres","Estrato 1","Oficial","8","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Ciencias humanas y económicas","115","115","Historia","Ciencias sociales y humanas","2","22","Artes y humanidades","163","169","Nivel 3","152","Nivel 3","197","B1","151","Sin información","148","Nivel 2"
"2018","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","COL","170","Colombiana","35","Mujeres","Estrato 3","Oficial","19","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Minas","125","125","Ingeniería Administrativa","Ingeniería, arquitectura, urbanismo y afines","4","41","Administración de empresas y derecho","164","134","Nivel 2","173","Nivel 3","151","A2","156","Sin información","206","Nivel 4"
"2018","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","COL","170","Colombiana","36","Mujeres","Estrato 3","Oficial","16","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Minas","55189","55189","Ingeniería Ambiental","Ingeniería, arquitectura, urbanismo y afines","7","712","Ingeniería, industria y construcción","136","112","Nivel 1","85","Nivel 1","173","B1","145","Sin información","164","Nivel 3"
"2018","CAUCA","19","PIENDAMÓ","19548","-76.5273955374","2.63758943296","CAUCA","19","PIENDAMÓ","19548","-76.5273955374","2.63758943296","COL","170","Colombiana","33","Mujeres","ND/NE","Otros","26","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias económicas","19","19","Administración de Empresas","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","187","165","Nivel 3","178","Nivel 3","198","B1","208","Sin información","188","Nivel 3"
"2018","SANTANDER","68","MÁLAGA","68432","-72.732133306","6.7021775212","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","COL","170","Colombiana","37","Mujeres","Estrato 3","Oficial","26","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Arquitectura","16919","16919","Artes Plásticas","Bellas artes","2","21","Artes y humanidades","163","143","Nivel 2","163","Nivel 3","160","A2","193","Sin información","156","Nivel 3"
"2018","Sin datos","-89","Sin datos","-89","-89","-89","Sin datos","-89","Sin datos","-89","-89","-89","COL","170","Colombiana","48","Mujeres","Estrato 2","Otros","9","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias humanas","13","13","Antropología","Ciencias sociales y humanas","2","22","Artes y humanidades","194","197","Nivel 3","181","Nivel 3","224","B2","193","Sin información","175","Nivel 3"
"2018","GUAVIARE","95","SAN JOSÉ DEL GUAVIARE","95001","-72.6400959977","2.57047809895","AMAZONAS","91","LETICIA","91001","-69.9406798289","-4.21202316969","COL","170","Colombiana","37","Mujeres","ND/NE","Oficial","8","1125","Amazonía","1101","Bogotá","Especial","PEAMA","No aplica","PEAMA - Amazonía","Ciencias económicas","16895","16895","Contaduría Publica","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","158","183","Nivel 3","169","Nivel 3","133","A1","161","Sin información","145","Nivel 2"
"2018","VALLE DEL CAUCA","76","ARGELIA","76054","-76.1219607073","4.72685117123","CALDAS","17","PALESTINA","17524","-75.6211133951","5.0191163439","COL","170","Colombiana","38","Mujeres","Estrato 2","Otros","7","1103","Manizales","1103","Manizales","Regular","Regular","No aplica","No aplica","Administración","4120","4120","Administración de Empresas (Diurno)","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","154","169","Nivel 3","172","Nivel 3","120","-A1","167","Sin información","141","Nivel 2"
"2018","ANTIOQUIA","5","ITAGÜÍ","5360","-75.629721946","6.16815830322","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","COL","170","Colombiana","34","Mujeres","Estrato 1","Oficial","5","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Ciencias agrarias","113","113","Ingeniería Agronómica","Ingeniería, arquitectura, urbanismo y afines","8","81","Agricultura, silvicultura, pesca y veterinaria","171","166","Nivel 3","143","Nivel 2","178","B1","190","Sin información","180","Nivel 3"
"2018","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","COL","170","Colombiana","36","Mujeres","Estrato 2","Oficial","14","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Ciencias agrarias","113","113","Ingeniería Agronómica","Ingeniería, arquitectura, urbanismo y afines","8","81","Agricultura, silvicultura, pesca y veterinaria","174","169","Nivel 3","190","Nivel 4","164","A2","182","Sin información","167","Nivel 3"
"2018","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","ANTIOQUIA","5","BELLO","5088","-75.5544475761","6.33378556247","COL","170","Colombiana","34","Mujeres","Estrato 2","Oficial","18","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Arquitectura","128","128","Construcción","Ingeniería, arquitectura, urbanismo y afines","7","73","Ingeniería, industria y construcción","149","150","Nivel 2","137","Nivel 2","154","A2","140","Sin información","163","Nivel 3"
"2018","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","COL","170","Colombiana","33","Mujeres","Estrato 2","Privado","38","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Ciencias agrarias","113","113","Ingeniería Agronómica","Ingeniería, arquitectura, urbanismo y afines","8","81","Agricultura, silvicultura, pesca y veterinaria","170","177","Nivel 3","151","Nivel 3","149","A2","191","Sin información","183","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","45","Mujeres","Estrato 3","Privado","32","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias humanas","13","13","Antropología","Ciencias sociales y humanas","2","22","Artes y humanidades","212","207","Nivel 4","300","Nivel 4","201","B2","194","Sin información","159","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","CUNDINAMARCA","25","SOACHA","25754","-74.1949015405","4.58639001648","COL","170","Colombiana","40","Mujeres","Estrato 2","Privado","14","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias humanas","16938","16938","Lingüística","Ciencias sociales y humanas","2","23","Artes y humanidades","171","202","Nivel 4","137","Nivel 2","201","B2","175","Sin información","138","Nivel 2"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","40","Mujeres","Estrato 2","Privado","9","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias humanas","13","13","Antropología","Ciencias sociales y humanas","2","22","Artes y humanidades","180","175","Nivel 3","170","Nivel 3","190","B1","198","Sin información","167","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","39","Mujeres","Estrato 4","Privado","49","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias","37","37","Farmacia","Matemáticas y ciencias naturales","9","91","Salud y bienestar","184","184","Nivel 3","188","Nivel 4","189","B1","195","Sin información","164","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","35","Mujeres","Estrato 2","Oficial","7","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias económicas","16895","16895","Contaduría Publica","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","166","151","Nivel 2","178","Nivel 3","153","A2","183","Sin información","167","Nivel 3"
"2018","HUILA","41","ISNOS","41359","-76.2145418301","1.93035577877","HUILA","41","ISNOS","41359","-76.2145418301","1.93035577877","COL","170","Colombiana","34","Mujeres","Estrato 2","Oficial","13","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Enfermería","7","7","Enfermería","Ciencias de la salud","9","91","Salud y bienestar","148","147","Nivel 2","137","Nivel 2","155","A2","149","Sin información","153","Nivel 2"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","35","Mujeres","ND/NE","Oficial","41","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias humanas","54036","54036","Español y Filología Clásica","Ciencias sociales y humanas","2","23","Artes y humanidades","189","196","Nivel 3","204","Nivel 4","175","B1","199","Sin información","169","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","35","Mujeres","Estrato 2","Oficial","15","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias","32","32","Estadística","Matemáticas y ciencias naturales","5","54","Ciencias naturales, matemáticas y estadística","181","190","Nivel 3","172","Nivel 3","149","A2","186","Sin información","209","Nivel 4"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","34","Mujeres","Estrato 3","Oficial","20","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias agrarias","1","1","Ingeniería Agronómica","Ingeniería, arquitectura, urbanismo y afines","8","81","Agricultura, silvicultura, pesca y veterinaria","176","169","Nivel 3","159","Nivel 3","185","B1","188","Sin información","178","Nivel 3"
"2018","VALLE DEL CAUCA","76","CALI","76001","-76.5263911952","3.40638218413","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","35","Mujeres","Estrato 2","Oficial","12","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Artes","2497","2497","Artes Plásticas","Bellas artes","2","21","Artes y humanidades","184","189","Nivel 3","143","Nivel 2","204","B2","195","Sin información","190","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","35","Mujeres","Estrato 3","Privado","13","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Derecho, ciencias políticas y sociales","17","17","Derecho","Ciencias sociales y humanas","4","42","Administración de empresas y derecho","191","208","Nivel 4","189","Nivel 4","145","A1","220","Sin información","193","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","35","Mujeres","Estrato 3","Privado","100","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Medicina veterinaria y de zootecnia","2","2","Medicina Veterinaria","Agronomía, veterinaria y afines","8","84","Agricultura, silvicultura, pesca y veterinaria","183","162","Nivel 3","201","Nivel 4","182","B1","200","Sin información","172","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","35","Mujeres","Estrato 3","Otros","15","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Ciencias humanas","15","15","Trabajo Social","Ciencias sociales y humanas","9","92","Salud y bienestar","157","156","Nivel 2","103","Nivel 1","168","A2","179","Sin información","181","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","32","Mujeres","Estrato 3","Privado","50","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Artes","5","5","Diseño Industrial","Bellas artes","2","21","Artes y humanidades","186","182","Nivel 3","178","Nivel 3","180","B1","197","Sin información","194","Nivel 3"
