"ZONA PORTUARIA               ","SOCIEDAD PORTUARIA","TIPO DE SERVICIO","TIPO DE CARGA","EXPORTACION","IMPORTACIÓN","TRANSBORDO","TRANSITO INTERNACIONAL","FLUVIAL","CABOTAJE","MOVILIZACIONES A BORDO","TRANSITORIA","AÑO VIGENCIA","MES VIGENCIA"
"CARTAGENA","PUERTO BUENAVISTA S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","22,045","0","0","0","0","0","0","2,022","10"
"BUENAVENTURA","GRUPO PORTUARIO S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","64,679","0","0","0","0","0","0","2,019","11"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","PUBLICO","GENERAL","0","90","301","0","0","0","0","0","2,024","9"
"GUAJIRA","CERREJON ZONA NORTE S.A.","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","0","6,517","0","0","0","0","0","0","2,021","9"
"TUMACO","CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS","PRIVADO","GRANEL LIQUIDO","50,427","0","0","0","0","0","0","0","2,019","12"
"CARTAGENA","SOCIEDAD PORTUARIA DEL DIQUE S.A.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","0","20,868","0","0","2,018","9"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","106,045","80,337","0","0","0","0","0","0","2,022","3"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","CONTENEDORES","48,299","59,636","9,479","11,271","0","896","0","594","2,022","6"
"BARRANQUILLA","VOPAK COLOMBIA S.A.","PUBLICO","GRANEL LIQUIDO","21,312","20,984","0","0","0","0","0","662","2,020","5"
"CARTAGENA","PUERTO BUENAVISTA S.A","PUBLICO","GENERAL","0","0","0","0","0","1,593","0","0","2,018","6"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","PUBLICO","GENERAL","20","123","0","0","0","0","0","0","2,019","4"
"BARRANQUILLA","VOPAK COLOMBIA S.A.","PUBLICO","GRANEL LIQUIDO","5,011","16,665","0","0","0","0","0","0","2,021","1"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","GRANEL LIQUIDO","5,775","7,939","0","0","0","0","0","0","2,024","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","GRANEL LIQUIDO","0","3,164","0","0","0","0","0","0","2,020","5"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","73,597","0","0","0","2,019","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","170,520","0","0","2,000","0","0","0","2,020","1"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","PUBLICO","CONTENEDORES","90,925","98,936","294,512","0","0","3,460","0","0","2,023","4"
"CARTAGENA","COREMAR SHOREBASE SA","PUBLICO","GRANEL LIQUIDO","0","0","0","0","288","0","0","0","2,021","1"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","240,775","0","0","0","0","0","0","2,022","5"
"SANTA MARTA","CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS","PRIVADO","GRANEL LIQUIDO","0","407,382","0","0","0","106,165","0","0","2,022","1"
"CARTAGENA","COREMAR SHOREBASE SA","PUBLICO","GRANEL LIQUIDO","0","0","0","0","443","0","0","0","2,019","6"
"TUMACO","CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS","PRIVADO","GRANEL LIQUIDO","71,019","0","0","0","0","0","0","0","2,023","9"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GENERAL","0","24,475","0","0","0","0","0","0","2,021","2"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GENERAL","1,401","1,436","0","0","0","0","0","0","2,018","5"
"CARTAGENA","VOPAK COLOMBIA S.A.","PUBLICO","GRANEL LIQUIDO","0","4,504","0","0","0","0","0","0","2,023","7"
"CARTAGENA","VOPAK COLOMBIA S.A.","PUBLICO","GRANEL LIQUIDO","7,108","2,308","0","0","0","0","0","0","2,023","3"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","0","0","0","0","2,025","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","GENERAL","0","37,296","1,177","0","0","20","0","0","2,023","2"
"CARTAGENA","NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A","PRIVADO","GRANEL LIQUIDO","0","0","0","0","0","4,775","0","0","2,018","3"
"BUENAVENTURA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","69,116","0","0","0","0","0","0","2,022","6"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GENERAL","0","15,083","0","0","0","0","0","0","2,018","5"
"CARTAGENA","ZONA FRANCA ARGOS S.A.S.","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","95,250","49,500","0","0","0","0","0","0","2,022","1"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","CONTENEDORES","318","2,352","0","0","0","6,180","0","0","2,018","7"
"CARTAGENA","PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.","PUBLICO","GRANEL LIQUIDO","0","4,798","0","0","0","0","0","0","2,023","1"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","CONTENEDORES","71,032","13,434","0","0","0","0","0","0","2,023","12"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","PUBLICO","GENERAL","0","1","551","0","0","0","0","0","2,020","12"
"CARTAGENA","SOCIEDAD PORTUARIA DEXTON S.A.","PUBLICO","GRANEL LIQUIDO","6,599","8,948","0","0","0","0","0","0","2,019","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","PUBLICO","CONTENEDORES","73,641","142,930","5,143","0","0","0","0","0","2,021","3"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","37,974","0","0","0","0","0","0","0","2,023","5"
"CARTAGENA","COREMAR SHOREBASE SA","PUBLICO","GENERAL","0","1,465","0","0","0","0","0","0","2,021","12"
"SANTA MARTA","CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS","PRIVADO","GRANEL LIQUIDO","0","282,186","0","0","0","263,590","0","0","2,023","4"
"CARTAGENA","PUERTO DE MAMONAL S.A.","PUBLICO","GENERAL","2,516","1,073","0","0","0","0","0","0","2,025","7"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","CONTENEDORES","0","28","0","0","0","0","0","0","2,018","12"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","GRANEL LIQUIDO","0","3,171","0","0","0","0","0","0","2,023","9"
